id,false_sent,connector,explanation0,explanation1,explanation2,label
204,He went on holiday to Chicken, This is false because ,Turkeys are much larger than chickens,Turkey is a country and chicken is a bird,Turkey is in the middle east,1
205,"When it is dark at home, you can turn on the heaters", This is false because ,turning on the heaters will not help you see things in the dark,you cannot see the heaters in the dark,there are no heaters at home,0
206,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires., This is false because ,Cooking fires are a result of mistakes made in recipes.,Gourmet meals and cooking are hazardous and should be avoided.,"Kitchen fires, and or mistakes are not a direct result of cooking gourmet meals.",2
207,He drinks beer in a dog, This is false because ,Dog is an animal which cannot be used to drink beer,Dog does not like beer,Dog does not taste good,0
208,The family came back from the moon, This is false because ,The moon is not a destination everyday people can visit,The moon is only visible to see at night,The family does not have a gas station to stop and get gas on the way to the moon,0
209,Sugar is bad for humans, This is false because ,Sugar is a sweet drug,Sugar is widely used by humans with no  fear,Sugar is bad for no human use,1
210,It rains often in Sahara, This is false because ,snow is more often in Sahara than rain,"Sahara is a desert, which means that it receives very little rain",many parts of Sahara are uninhabited,1
211,The man had an automobile for dinner, This is false because ,People do not eat automobiles for food,An automobile is too big for the man's mouth,An automobile is to hard for a man to eat,0
212,she washed her hair with milk, This is false because ,milk is thicker than shampoo,hair does not like eating milk,milk will not clean your hair,2
213,taking a dump in the park can be good for your health, This is false because ,there is no toilet paper in the park,doing the toilet in public places is wrong,you cannot flush in the park,1
214,Something you find at a water cooler is a living dinosaur, This is false because ,Dinosaurs do not have thumbs to use the water cooler,Dinosaurs are extinct,Dinosaurs do not speak the same language as humans,1
215,She jumped into the water of a glass., This is false because ,A glass is much smaller than a pool.,Glasses are usually glass while the pools are tiled.,A glass cannot swim in a pool.,0
216,She lives in a snow globe., This is false because ,A snow globe is too small for a person to live in,Snow globes are tacky looking for her to live in,The glass around the snow globe would prevent her from going to the supermarket,0
217,John plays the milk., This is false because ,Milk is a liquid not an musical instrument.,Milk is the same color as most of the piano keys.,Milk needs to be kept cold,0
218,You cannot hydrate yourself by drinking water., This is false because ,You cannot hydrate yourself with anything other than water.,If you drink water once you are hydrated forever.,Water is the most efficient way to hydrate yourself compared to other liquid.,2
219,My medicine take me, This is false because ,medicines are useful,Medicines are not alive,I am human,1
220,He pulled a fan from the bottle., This is false because ,Fan is beautiful and the bottle is ugly.,Fan do not fit in bottles.,Fans cannot be drunk.,1
221,Tomorrow is a water bottle., This is false because ,Water bottles are made of plastic.,Water bottle is not a day of the week.,Water bottles pollute the ocean.,1
222,He cooks a bed in the pan., This is false because ,The bed is too big for a pan.,"The bed is always comfortable, the pan is hard.",The bed didn't drink milk.,0
223,Dirty dishes cannot be cleaned in a dishwasher., This is false because ,A dishwashers purpose is too clean dishes and was invented to do so.,Dishwashers love to clean dishes.,A dishwashers always volunteer to clean dishes.,0
224,He put a shark into the cabinet., This is false because ,The cabinet is white while the shark is grey.,The cabinet has two doors while the shark has none.,The shark can't fit into the cabinet.,2
225,The girl likes to eat plastic., This is false because ,"Sweets are usually made with sugar, while plastic with petroleum substances.",Plastic is not food.,Plastic cannot be sweet.,1
226,The cat barked at the mailman., This is false because ,Dogs and cats are both animals that sit in the window,Cats do not bark.,Cats sleep all day and do not see people walking outside,1
227,"If before you go to the pub and you drink a lot, then afterwards you are drunk", This is false because ,Drinking happens at the pub,The pub gives you drink,"You usually drink at the pub, not before the pub",2
228,The woman played television, This is false because ,The television is not a woman,Television is not a game or sport,A game is not the television,1
229,The eagle flies deep in the ocean, This is false because ,Eagles cannot find materials for their nest in the deep ocean,Eagles do not go into bodies of water,Eagles are not the same color of ocean and could not camoflauge,1
